email_id,Customer name_llm,Customer name_regex,Customer name_match,Car model_llm,Car model_regex,Car model_match,Pickup_llm,Pickup_regex,Pickup_match,Dropoff_llm,Dropoff_regex,Dropoff_match
rentalcars_197251,Miguel Santos,Miguel Santos,True,Nissan Micra,Nissan Micra,True,2026-01-11 13:30 em Funchal Airport,2026-01-11 13:30 em Funchal Airport,True,2026-01-13 17:30 em Gaia,2026-01-13 17:30 em Gaia Station,False
rentalcars_182627,Joana Marques,Joana Marques,True,Volkswagen Golf,Volkswagen Golf,True,2026-04-09 18:30 em Gaia Station,2026-04-09 18:30 em Gaia Station,True,2026-04-14 17:15 em Funch,2026-04-14 17:15 em Funchal Airport,False
rentalcars_379946,Emily Coelho,Emily Coelho,True,Toyota Yaris,Toyota Yaris,True,2026-06-25 18:00 em Santa Cruz Downtown,2026-06-25 18:00 em Santa Cruz Downtown,True,2026-07-06 17:15 em Gaia,2026-07-06 17:15 em Gaia Station,False
rentalcars_694731,Maria Garcia,Maria Garcia,True,Renault Clio,Renault Clio,True,2025-12-09 18:45 em Lisbon Airport,2025-12-09 18:45 em Lisbon Airport,True,"2025-12-13 14:45 em Porto Airport
 diligently",2025-12-13 14:45 em Porto Airport,False
rentalcars_665579,Diana Oliveira,Diana Oliveira,True,Peugeot 208,Peugeot 208,True,2026-03-29 17:30 em Funchal Airport,2026-03-29 17:30 em Funchal Airport,True,2026-03-30 15:00 em Porto,2026-03-30 15:00 em Porto Airport,False
rentalcars_531071,Miguel Marques,Miguel Marques,True,Seat Ibiza,Seat Ibiza,True,2026-02-25 19:00 em Funchal Airport,2026-02-25 19:00 em Funchal Airport,True,2026-03-11 18:00 em Far,2026-03-11 18:00 em Faro Airport,False
rentalcars_300896,Maria Garcia,Maria Garcia,True,Toyota Yaris,Toyota Yaris,True,2025-08-16 12:30 at Lisbon Airport,2025-10-06 15:15 em Porto Airport,False,2025-08-25 13:30 at Santa Cruz Downtown,2025-10-15 14:15 em Faro Airport,False
rentalcars_161483,Rui Marques,Rui Marques,True,Nissan Micra,Nissan Micra,True,2025-09-23 08:45 em Porto Airport,2025-09-23 08:45 em Porto Airport,True,2025-09-30 12:45 em Faro,2025-09-30 12:45 em Faro Airport,False
rentalcars_161324,Ana Garcia,Ana Garcia,True,Nissan Micra,Nissan Micra,True,2026-04-23 16:00 em Funchal Airport,2026-04-23 16:00 em Funchal Airport,True,2026-05-05 19:30 em Santa Cruz,2026-05-05 19:30 em Santa Cruz Downtown,False
rentalcars_654634,Diana Coelho,Diana Coelho,True,Ford Fiesta,Ford Fiesta,True,2025-07-05 16:30 em Lisbon Airport,2025-07-05 16:30 em Lisbon Airport,True,"2025-07-16 18:00 em Porto Airport
 diligently",2025-07-16 18:00 em Porto Airport,False
rentalcars_839945,David Costa,David Costa,True,Seat Ibiza,Seat Ibiza,True,2026-02-04 08:00 em Santa Cruz Downtown,2026-02-04 08:00 em Santa Cruz Downtown,True,2026-02-13 09:15 em Funchal,2026-02-13 09:15 em Funchal Airport,False
rentalcars_870763,Sara Coelho,Sara Coelho,True,Toyota Yaris,Toyota Yaris,True,2025-08-16 12:30 at Lisbon Airport,2025-11-05 10:00 em Faro Airport,False,2025-08-25 13:30 at Santa Cruz Downtown,2025-11-10 14:00 em Lisbon Airport,False
rentalcars_420015,David Johnson,David Johnson,True,Peugeot 208,Peugeot 208,True,2025-10-25 08:15 em Porto Airport,2025-10-25 08:15 em Porto Airport,True,2025-10-29 14:30 em Funchal,2025-10-29 14:30 em Funchal Airport,False
rentalcars_749342,Inês Coelho,Inês Coelho,True,Volkswagen Golf,Volkswagen Golf,True,2025-12-19 20:15 em Lisbon Airport,2025-12-19 20:15 em Lisbon Airport,True,2025-12-21 18:30 em Funchal,2025-12-21 18:30 em Funchal Airport,False
rentalcars_916232,John Santos,John Santos,True,Renault Clio,Renault Clio,True,2026-02-03 10:45 em Funchal Airport,2026-02-03 10:45 em Funchal Airport,True,2026-02-07 08:15 em Faro,2026-02-07 08:15 em Faro Airport,False
rentalcars_686075,Inês Costa,Inês Costa,True,Renault Clio,Renault Clio,True,2026-05-01 20:45 em Santa Cruz Downtown,2026-05-01 20:45 em Santa Cruz Downtown,True,2026-05-07 17:45 em Faro,2026-05-07 17:45 em Faro Airport,False
rentalcars_371782,David Fernandes,David Fernandes,True,Peugeot 208,Peugeot 208,True,2025-11-04 18:30 em Gaia Station,2025-11-04 18:30 em Gaia Station,True,2025-11-18 20:45 em Lisbon,2025-11-18 20:45 em Lisbon Airport,False
rentalcars_345884,Carlos Smith,Carlos Smith,True,Renault Clio,Renault Clio,True,2025-08-16 12:30 at Lisbon Airport,2025-11-17 13:00 em Lisbon Airport,False,2025-08-25 13:30 at Santa Cruz Downtown,2025-11-23 10:15 em Faro Airport,False
